PotNum,Scenario,Nutrients,Taxon,Symphytum,Silene,Urtica,Geranium,Geum,All_Natives,Fallopia,Total,Pct_Fallopia
1,low,low,japon,9.81,36.36,16.08,4.68,0.12,67.05,0.01,67.06,0.01
2,low,low,japon,8.64,29.65,5.59,5.75,0.55,50.18,0.04,50.22,0.08
3,low,low,japon,2.65,36.03,17.09,5.13,0.09,60.99,0.09,61.08,0.15
5,low,low,japon,1.44,21.43,12.39,5.37,0.31,40.94,0.77,41.71,1.85
6,low,low,japon,9.15,23.90,5.19,0.00,0.17,38.41,3.40,41.81,8.13
7,low,low,japon,6.31,24.40,7.00,9.05,0.97,47.73,0.54,48.27,1.12
8,low,low,japon,19.53,29.93,0.00,3.51,0.40,53.37,2.05,55.42,3.70
9,low,low,japon,6.08,18.25,8.44,9.64,0.01,42.42,0.26,42.68,0.61
10,low,low,japon,5.69,35.23,4.84,7.30,0.47,53.53,0.00,53.53,0.00
11,low,low,japon,15.58,20.81,2.81,6.36,0.33,45.89,0.00,45.89,0.00
12,low,low,japon,11.38,28.67,9.79,5.04,0.56,55.44,3.58,59.02,6.07
14,low,low,japon,2.92,27.11,6.25,9.50,0.05,45.83,11.83,57.66,20.52
16,low,low,bohem,12.99,18.02,9.51,7.52,0.36,48.40,0.58,48.98,1.18
17,low,low,bohem,4.90,29.52,1.36,0.00,0.19,35.97,0.00,35.97,0.00
18,low,low,bohem,3.51,27.61,8.14,3.81,0.21,43.28,0.00,43.28,0.00
19,low,low,bohem,7.49,32.14,5.70,6.93,0.01,52.27,0.00,52.27,0.00
20,low,low,bohem,11.16,25.58,1.80,5.10,0.07,43.71,2.21,45.92,4.81
22,low,low,bohem,0.76,22.66,9.85,10.60,0.74,44.61,0.00,44.61,0.00
23,low,low,bohem,7.53,33.14,9.42,9.02,0.02,59.13,0.00,59.13,0.00
24,low,low,bohem,5.74,28.12,14.69,7.55,0.48,56.58,2.39,58.97,4.05
25,low,low,bohem,8.91,32.99,7.35,3.79,0.18,53.22,2.14,55.36,3.87
26,low,low,bohem,13.25,18.11,0.00,0.00,0.10,31.46,0.00,31.46,0.00
28,low,low,bohem,10.59,18.78,7.19,6.73,0.17,43.46,0.00,43.46,0.00
29,low,low,bohem,11.48,19.89,5.84,3.86,0.13,41.20,3.45,44.65,7.73
30,low,low,bohem,10.35,26.64,20.07,2.05,0.58,59.69,0.00,59.69,0.00
31,high,high,japon,6.11,31.56,10.81,3.09,0.40,51.97,8.85,60.82,14.55
33,high,high,japon,4.32,27.05,7.95,9.09,0.27,48.68,8.53,57.21,14.91
34,high,high,japon,2.31,11.06,14.66,5.86,0.20,34.09,0.00,34.09,0.00
35,high,high,japon,6.76,34.22,6.21,8.67,0.25,56.11,2.46,58.57,4.20
36,high,high,japon,4.03,50.88,2.72,9.05,0.06,66.74,0.00,66.74,0.00
38,high,high,japon,7.17,31.69,14.41,6.69,0.83,60.79,2.39,63.18,3.78
39,high,high,japon,14.97,3.85,18.97,16.00,0.89,54.68,5.20,59.88,8.68
40,high,high,japon,5.39,30.77,7.40,10.28,0.25,54.09,0.00,54.09,0.00
41,high,high,japon,11.85,25.03,8.59,9.60,0.20,55.27,0.00,55.27,0.00
42,high,high,japon,9.04,31.34,16.30,3.80,0.51,60.99,0.32,61.31,0.52
44,high,high,japon,15.55,13.09,15.24,4.22,0.22,48.32,5.24,53.56,9.78
45,high,high,japon,9.85,25.19,11.99,5.40,0.23,52.66,0.00,52.66,0.00
47,high,high,bohem,18.78,18.78,9.85,16.15,1.15,64.71,0.00,64.71,0.00
48,high,high,bohem,21.82,21.82,7.00,4.87,0.06,55.57,5.49,61.06,8.99
49,high,high,bohem,8.43,26.31,0.00,10.29,0.00,45.03,0.31,45.34,0.68
50,high,high,bohem,8.52,44.61,1.27,9.45,0.35,64.20,0.00,64.20,0.00
52,high,high,bohem,17.32,29.40,1.74,8.94,0.10,57.50,0.00,57.50,0.00
53,high,high,bohem,7.05,56.29,1.14,4.07,0.00,68.55,0.00,68.55,0.00
54,high,high,bohem,5.32,23.36,20.63,0.00,0.24,49.55,0.00,49.55,0.00
55,high,high,bohem,3.45,33.95,11.57,6.10,0.05,55.12,1.58,56.70,2.79
57,high,high,bohem,8.57,31.08,14.35,0.00,0.06,54.06,0.00,54.06,0.00
58,high,high,bohem,11.70,32.02,11.99,7.64,0.21,63.56,3.04,66.60,4.56
60,high,high,bohem,7.77,51.45,5.13,10.10,0.37,74.82,0.00,74.82,0.00
61,gradual,high,japon,11.75,11.75,15.23,14.94,0.04,53.71,0.00,53.71,0.00
62,gradual,high,japon,13.72,21.41,6.18,4.61,0.62,46.54,3.21,49.75,6.45
63,gradual,high,japon,1.04,36.09,15.18,5.18,0.08,57.57,0.88,58.45,1.51
65,gradual,high,japon,9.87,27.37,19.53,8.83,0.17,65.77,0.29,66.06,0.44
66,gradual,high,japon,4.30,30.02,15.78,6.43,0.28,56.81,10.20,67.01,15.22
67,gradual,high,japon,2.92,25.18,19.12,23.13,0.06,70.41,0.00,70.41,0.00
68,gradual,high,japon,9.62,28.99,0.00,4.18,0.31,43.10,3.53,46.63,7.57
69,gradual,high,japon,11.89,43.32,4.52,0.82,0.00,60.55,2.88,63.43,4.54
70,gradual,high,japon,10.06,46.96,18.57,0.64,0.82,77.05,0.00,77.05,0.00
72,gradual,high,japon,6.50,26.60,3.23,5.62,0.00,41.95,5.55,47.50,11.68
73,gradual,high,japon,11.43,29.76,12.38,8.12,0.06,61.75,0.04,61.79,0.06
74,gradual,high,japon,2.56,45.36,7.02,0.00,0.02,54.96,0.00,54.96,0.00
76,gradual,high,bohem,18.18,14.64,6.39,9.71,0.07,48.99,0.00,48.99,0.00
77,gradual,high,bohem,3.37,27.50,14.35,4.58,0.06,49.86,2.15,52.01,4.13
78,gradual,high,bohem,16.47,0.00,8.92,24.64,0.41,50.44,5.34,55.78,9.57
79,gradual,high,bohem,10.98,44.56,1.56,0.03,0.05,57.18,0.00,57.18,0.00
80,gradual,high,bohem,11.92,17.16,8.92,0.94,0.18,39.12,3.35,42.47,7.89
81,gradual,high,bohem,14.89,16.78,5.84,8.47,0.20,46.18,0.00,46.18,0.00
83,gradual,high,bohem,5.78,32.72,18.36,5.70,0.00,62.56,0.00,62.56,0.00
84,gradual,high,bohem,3.48,26.80,13.20,5.83,0.05,49.36,5.00,54.36,9.20
85,gradual,high,bohem,10.19,26.66,15.01,3.07,0.14,55.07,14.47,69.54,20.81
86,gradual,high,bohem,2.93,60.93,4.11,6.67,1.27,75.91,0.00,75.91,0.00
87,gradual,high,bohem,11.43,5.00,0.00,14.59,0.74,31.76,24.58,56.34,43.63
88,gradual,high,bohem,7.19,34.69,16.25,6.84,0.00,64.97,0.00,64.97,0.00
90,gradual,high,bohem,13.62,21.98,17.04,7.56,0.51,60.71,0.00,60.71,0.00
91,extreme,high,japon,6.77,29.29,17.58,1.20,0.98,55.82,1.98,57.80,3.43
92,extreme,high,japon,9.19,16.76,7.32,4.84,0.21,38.32,3.40,41.72,8.15
93,extreme,high,japon,6.55,48.19,0.00,9.21,0.05,64.00,3.44,67.44,5.10
94,extreme,high,japon,5.22,18.21,21.51,6.53,0.58,52.05,6.73,58.78,11.45
95,extreme,high,japon,4.92,25.93,40.33,4.92,0.07,76.17,1.57,77.74,2.02
96,extreme,high,japon,9.51,3.15,36.16,10.16,0.62,59.60,6.08,65.68,9.26
97,extreme,high,japon,14.98,33.34,2.56,7.38,0.16,58.42,0.00,58.42,0.00
98,extreme,high,japon,17.37,4.38,2.73,16.41,0.00,40.89,14.46,55.35,26.12
100,extreme,high,japon,7.36,24.90,3.21,7.30,0.46,43.23,7.05,50.28,14.02
101,extreme,high,japon,10.54,31.97,7.37,4.62,0.54,55.04,0.00,55.04,0.00
102,extreme,high,japon,9.51,0.00,17.56,6.97,0.00,34.04,5.52,39.56,13.95
103,extreme,high,japon,6.92,49.38,0.00,10.33,0.42,67.05,4.02,71.07,5.66
104,extreme,high,japon,12.42,18.36,4.44,6.42,0.42,42.06,3.17,45.23,7.01
105,extreme,high,japon,5.89,37.92,4.71,5.18,0.09,53.79,3.41,57.20,5.96
107,extreme,high,bohem,0.00,43.85,8.10,8.18,0.36,60.49,7.21,67.70,10.65
108,extreme,high,bohem,10.29,27.47,5.47,0.00,0.40,43.63,8.83,52.46,16.83
110,extreme,high,bohem,17.39,24.42,10.71,8.34,0.00,60.86,0.00,60.86,0.00
111,extreme,high,bohem,12.59,0.00,41.08,4.81,1.38,59.86,2.33,62.19,3.75
112,extreme,high,bohem,15.27,1.66,25.77,8.79,0.50,51.99,13.54,65.53,20.66
113,extreme,high,bohem,12.52,21.52,0.00,5.71,1.11,40.86,7.33,48.19,15.21
114,extreme,high,bohem,11.33,31.61,6.95,10.14,0.86,60.89,0.00,60.89,0.00
116,extreme,high,bohem,14.89,0.00,10.16,10.28,0.18,35.51,12.62,48.13,26.22
117,extreme,high,bohem,14.12,24.57,12.59,8.46,0.63,60.37,0.00,60.37,0.00
118,extreme,high,bohem,14.21,25.15,12.69,8.06,0.29,60.40,7.46,67.86,10.99
119,extreme,high,bohem,0.00,36.79,8.69,3.38,1.20,50.06,6.34,56.40,11.24
120,extreme,high,bohem,9.85,15.71,15.56,3.89,1.46,46.47,2.66,49.13,5.41
121,fluctuations,high,japon,19.91,16.80,8.96,7.77,0.00,53.44,2.67,56.11,4.76
122,fluctuations,high,japon,7.89,18.61,11.68,9.30,0.06,47.54,2.24,49.78,4.50
124,fluctuations,high,japon,9.40,22.42,21.48,8.49,0.11,61.90,7.10,69.00,10.29
125,fluctuations,high,japon,12.62,26.72,1.18,2.50,0.16,43.18,22.22,65.40,33.98
126,fluctuations,high,japon,12.55,21.08,3.07,7.85,0.22,44.77,5.96,50.73,11.75
127,fluctuations,high,japon,1.73,47.35,9.70,0.35,0.00,59.13,3.95,63.08,6.26
128,fluctuations,high,japon,1.50,24.72,11.09,6.99,0.85,45.15,15.78,60.93,25.90
129,fluctuations,high,japon,5.92,0.00,8.56,9.47,0.12,24.07,5.47,29.54,18.52
131,fluctuations,high,japon,13.44,27.25,2.50,5.85,0.08,49.12,0.00,49.12,0.00
132,fluctuations,high,japon,8.41,50.11,6.73,0.19,0.39,65.83,2.90,68.73,4.22
133,fluctuations,high,japon,4.91,21.07,4.81,0.00,0.28,31.07,0.83,31.90,2.60
134,fluctuations,high,japon,7.40,43.74,3.83,0.00,0.17,55.14,14.74,69.88,21.09
135,fluctuations,high,japon,8.23,38.74,15.99,3.39,1.80,68.15,1.33,69.48,1.91
136,fluctuations,high,bohem,11.75,22.60,4.29,5.20,0.00,43.84,4.04,47.88,8.44
138,fluctuations,high,bohem,10.91,24.56,1.61,9.18,0.13,46.39,5.03,51.42,9.78
139,fluctuations,high,bohem,8.42,17.65,15.32,9.80,1.25,52.44,5.69,58.13,9.79
140,fluctuations,high,bohem,11.59,23.48,3.78,8.20,0.35,47.40,3.11,50.51,6.16
142,fluctuations,high,bohem,11.11,0.00,28.23,0.00,0.54,39.88,14.95,54.83,27.27
143,fluctuations,high,bohem,5.06,12.81,23.82,3.64,0.16,45.49,21.31,66.80,31.90
144,fluctuations,high,bohem,19.93,21.07,6.08,2.80,0.43,50.31,0.00,50.31,0.00
145,fluctuations,high,bohem,4.89,32.93,6.30,9.64,0.00,53.76,2.36,56.12,4.21
147,fluctuations,high,bohem,7.84,31.16,13.61,6.58,0.03,59.22,3.74,62.96,5.94
148,fluctuations,high,bohem,4.15,38.70,23.59,5.11,1.36,72.91,5.89,78.80,7.47
149,fluctuations,high,bohem,1.72,10.41,23.48,8.51,0.43,44.55,19.70,64.25,30.66
